frame,duck_id,x_world,y_world
200,1,2.9664,1.3562
200,2,2.8284,1.7000
200,3,3.4387,1.5375
200,4,2.1067,1.7625
201,0,2.9505,1.3688
201,1,2.1545,1.7438
201,2,3.4334,1.5438
201,3,2.6586,1.4437
201,4,2.8231,1.7062
201,5,2.3880,1.6437
202,0,2.9292,1.3813
202,1,3.4175,1.5500
202,2,2.6480,1.4500
202,3,2.1810,1.7313
202,4,2.8178,1.7000
202,5,2.5684,1.6500
203,0,2.9292,1.3875
203,1,3.4015,1.5688
203,2,2.7966,1.6875
203,3,2.6055,1.4437
203,4,2.2129,1.7313
203,5,2.5525,1.6500
203,6,2.3667,1.6250
204,0,2.5949,1.4500
204,1,2.9133,1.3938
204,2,3.3644,1.5750
204,3,2.7807,1.6938
204,4,2.2394,1.7313
204,5,2.5312,1.6375
205,0,2.8921,1.3875
205,1,3.3379,1.5875
205,2,2.7647,1.6938
205,3,2.5790,1.4500
206,0,2.8656,1.4000
206,1,2.7541,1.6875
206,2,3.2954,1.5938
206,3,2.5472,1.4375
207,0,2.8496,1.4187
207,1,2.7329,1.6812
207,2,3.2583,1.6000
207,3,2.5153,1.4250
208,0,2.8231,1.4250
208,1,2.7064,1.6812
208,2,3.2158,1.6062
208,3,2.4835,1.4187
209,0,3.1680,1.6062
209,1,2.8125,1.4375
209,2,2.6851,1.6938
210,0,2.8072,1.4375
210,1,3.1362,1.6062
210,2,2.6692,1.6812
211,0,3.0991,1.6125
211,1,2.8125,1.4375
211,2,2.6692,1.6812
212,0,2.8178,1.4375
212,1,3.0831,1.6187
213,0,2.8231,1.4437
213,1,3.0619,1.6187
213,2,2.6798,1.6812
214,0,2.8337,1.4750
214,1,3.0513,1.6312
214,2,2.4251,1.3562
215,0,2.8390,1.4750
215,1,2.4251,1.3500
216,0,2.8443,1.4937
216,1,2.4251,1.3438
217,0,2.4092,1.3312
217,1,2.8390,1.5063
218,0,2.8284,1.5125
218,1,2.3986,1.3250
219,0,2.8125,1.5125
219,1,2.3880,1.3250
220,0,2.3827,1.3250
220,1,2.7807,1.5125
221,0,2.7647,1.5125
221,1,2.3827,1.3125
222,0,2.7594,1.5063
222,1,2.3880,1.3000
223,0,2.9717,1.6625
223,1,2.3933,1.2812
223,2,2.2606,1.6562
223,3,2.7435,1.5000
223,4,2.7807,1.5063
224,0,2.9770,1.6562
224,1,2.2659,1.6437
224,2,2.7329,1.4937
224,3,2.4092,1.2437
224,4,2.5153,1.5187
225,0,2.9876,1.6437
225,1,2.2765,1.6250
225,2,2.4198,1.2312
225,3,2.3349,1.4375
226,0,2.9876,1.6312
226,1,2.4304,1.2125
226,2,2.2765,1.6125
227,0,2.4410,1.2063
227,1,2.9929,1.6250
227,2,2.2765,1.6187
228,0,2.9876,1.6187
228,1,2.4304,1.1750
228,2,2.2659,1.6125
229,0,2.9770,1.6000
229,1,2.2659,1.6062
229,2,2.4251,1.1500
230,0,2.9611,1.5813
230,1,2.4357,1.1187
230,2,2.2500,1.5875
231,0,2.4304,1.0875
231,1,2.9505,1.5813
231,2,2.2500,1.5688
232,0,2.3986,1.0687
232,1,2.9239,1.5688
232,2,2.2288,1.5375
233,0,2.8921,1.5375
233,1,2.3721,1.0500
233,2,2.1916,1.5063
233,3,2.9399,1.4187
234,0,2.3614,1.0375
234,1,2.8709,1.4813
234,2,2.1757,1.5000
235,0,2.3455,1.0375
235,1,2.8815,1.4625
236,0,2.3243,1.0250
236,1,2.8231,1.4563
237,0,2.3137,1.0250
237,1,2.8125,1.4500
237,2,2.1598,1.5000
238,0,2.8019,1.4375
238,1,2.3031,1.0250
239,0,2.7594,1.4437
239,1,2.2871,1.0312
240,0,2.2659,1.0375
240,1,2.7329,1.4187
241,0,2.6904,1.4250
241,1,2.2394,1.0500
242,0,2.2235,1.0750
242,1,2.6586,1.4312
243,0,2.1969,1.0875
243,1,2.6374,1.4688
244,0,2.1757,1.1063
245,0,2.1545,1.1187
245,1,2.4198,1.3125
246,0,2.1279,1.1313
247,0,2.1067,1.1500
248,0,2.0749,1.1625
249,0,2.0537,1.1750
250,0,2.0377,1.1750
251,0,2.0271,1.1813
252,0,2.0218,1.2063
253,0,2.5684,1.8500
254,0,2.5896,1.8750
255,0,2.6002,1.9125
256,0,2.6002,1.9500
257,0,2.5949,1.9750
258,0,2.5578,2.1500
258,1,2.1810,1.3250
258,2,1.7300,1.1437
258,3,2.2871,1.6688
259,0,2.5525,2.1437
259,1,2.2818,1.6688
259,2,2.1598,1.3062
259,3,1.6981,1.1187
260,0,2.5684,2.1125
260,1,2.1545,1.3000
260,2,1.6716,1.1000
260,3,2.2818,1.6688
261,0,2.5737,2.1000
261,1,2.1492,1.2938
261,2,1.6557,1.0875
261,3,2.2871,1.6812
262,0,2.5684,2.0812
262,1,1.6291,1.0750
262,2,2.1439,1.3000
