frame,duck_id,x_world,y_world
197,3,3.4228,1.5063
197,4,2.4517,1.6812
197,5,2.4039,1.6625
197,6,2.5790,1.7500
197,7,2.8231,1.7250
197,8,2.5578,1.7313
198,0,2.9982,1.3312
198,1,2.0059,1.8125
198,2,2.7117,1.4563
198,3,3.4281,1.5250
198,4,2.4570,1.6562
198,5,2.4251,1.6437
198,6,2.8284,1.7125
198,7,2.7223,1.4563
198,8,2.5206,1.6938
199,0,2.0643,1.7937
199,1,2.9823,1.3375
199,2,2.6798,1.4500
199,3,3.4175,1.5313
199,4,2.4517,1.6437
199,5,2.4888,1.6625
199,6,2.5259,1.6812
199,7,2.8337,1.7000
199,8,3.4493,1.5563
199,9,2.7117,1.4563
199,10,3.0035,1.3625
200,0,2.9717,1.3688
200,1,3.4334,1.5438
200,2,2.1014,1.7812
200,3,2.6692,1.4563
200,4,2.4463,1.6500
200,5,3.4546,1.5563
200,6,2.8284,1.7062
201,0,3.4175,1.5438
201,1,2.6639,1.4500
201,2,2.1545,1.7625
201,3,2.9505,1.3688
201,4,2.6798,1.4563
201,5,2.8337,1.7188
201,6,2.4092,1.6375
202,0,3.3962,1.5500
202,1,2.6321,1.4563
202,2,2.9292,1.3875
202,3,2.6586,1.4688
202,4,2.1810,1.7500
202,5,2.8284,1.7062
202,6,2.6798,1.4813
203,0,2.9346,1.3938
203,1,3.3856,1.5563
203,2,2.6002,1.4563
203,3,2.6586,1.4688
203,4,2.6268,1.4813
203,5,2.8072,1.7000
203,6,2.2129,1.7563
203,7,3.4015,1.5813
204,0,3.3538,1.5813
204,1,2.9186,1.4000
204,2,2.5949,1.4563
204,3,2.9346,1.4125
204,4,2.2606,1.7313
204,5,2.7807,1.6875
204,6,2.6268,1.4750
205,0,3.3166,1.5750
205,1,2.8921,1.3875
205,2,2.5843,1.4625
205,3,2.5578,1.4500
205,4,2.7700,1.6812
205,5,2.9133,1.4187
205,6,2.5896,1.4688
206,0,3.2848,1.5938
206,1,2.8709,1.4000
206,2,2.7594,1.6938
206,3,2.5419,1.4500
207,0,3.2370,1.5875
207,1,2.8443,1.4250
207,2,2.7329,1.6875
207,3,2.5206,1.4312
207,4,2.5472,1.4500
208,0,3.1999,1.5938
208,1,2.8284,1.4437
208,2,2.7064,1.6875
208,3,2.4888,1.4437
208,4,2.5206,1.4500
209,0,3.1627,1.5875
209,1,2.8178,1.4500
209,2,2.6745,1.6938
209,3,2.4623,1.4375
209,4,2.8496,1.4688
210,0,2.8072,1.4500
210,1,3.1203,1.6000
210,2,2.6639,1.6938
210,3,2.8337,1.4625
210,4,2.8603,1.4813
211,0,2.8178,1.4437
211,1,3.0938,1.6000
211,2,2.6639,1.6812
212,0,2.8231,1.4437
212,1,3.0831,1.6125
212,2,2.6639,1.6875
213,0,2.8178,1.4437
213,1,3.0619,1.6250
213,2,2.8390,1.4688
214,0,2.8337,1.4625
214,1,3.0513,1.6375
215,0,2.8390,1.4750
215,1,3.0301,1.6437
215,2,2.6639,1.6812
216,0,3.0142,1.6437
216,1,2.4304,1.3625
216,2,2.8337,1.5000
217,0,2.8390,1.5000
217,1,2.4092,1.3438
217,2,2.6427,1.6562
218,0,2.8337,1.5063
218,1,2.6586,1.6875
218,2,2.3986,1.3375
218,3,2.9929,1.6688
219,0,2.3933,1.3312
219,1,2.8178,1.5125
219,2,2.6480,1.7000
219,3,2.9717,1.6625
220,0,2.3880,1.3250
220,1,2.7754,1.5187
220,2,2.9611,1.6688
220,3,2.6321,1.7000
221,0,2.7647,1.5063
221,1,2.3774,1.3250
221,2,2.6268,1.7000
221,3,2.6002,1.6500
221,4,2.9505,1.6688
222,0,2.9611,1.6750
222,1,2.7594,1.5063
222,2,2.3827,1.3188
223,0,2.9664,1.6688
223,1,2.3933,1.2938
223,2,2.7435,1.5000
223,3,2.6586,1.7125
224,0,2.9717,1.6625
224,1,2.4092,1.2562
224,2,2.2712,1.6437
225,0,2.9770,1.6375
225,1,2.4145,1.2312
225,2,2.2765,1.6250
226,0,2.4198,1.2125
226,1,2.9823,1.6187
226,2,2.2712,1.6187
227,0,2.4410,1.2000
227,1,2.9770,1.6187
227,2,2.2765,1.6250
228,0,2.4357,1.1750
228,1,2.9664,1.6125
228,2,2.2871,1.6125
229,0,2.4198,1.1500
229,1,2.9664,1.6000
229,2,2.2765,1.6000
230,0,2.4357,1.1125
230,1,2.9611,1.6000
230,2,2.2765,1.5875
231,0,2.4145,1.0813
231,1,2.9558,1.5938
231,2,2.4357,1.1000
231,3,2.2606,1.5563
232,0,2.3933,1.0750
232,1,2.9239,1.5813
232,2,2.9399,1.6000
232,3,2.4145,1.0813
233,0,2.3774,1.0375
233,1,2.8868,1.5438
233,2,2.9027,1.5438
233,3,2.3933,1.0625
234,0,2.3614,1.0250
234,1,2.8709,1.5125
234,2,2.3774,1.0562
235,0,2.8496,1.4750
235,1,2.3349,1.0188
236,0,2.8337,1.4563
236,1,2.3190,1.0125
236,2,2.3402,1.0250
237,0,2.8125,1.4563
237,1,2.3031,1.0125
238,0,2.2978,1.0188
238,1,2.7966,1.4500
238,2,2.3243,1.0375
238,3,2.0961,1.2500
239,0,2.7594,1.4437
239,1,2.2871,1.0312
239,2,2.0749,1.2562
240,0,2.2606,1.0250
240,1,2.7329,1.4375
240,2,2.0483,1.2562
241,0,2.2394,1.0375
241,1,2.6958,1.4375
241,2,2.0059,1.2750
242,0,2.2129,1.0687
242,1,2.6586,1.4500
242,2,2.2341,1.0875
242,3,1.9688,1.3125
243,0,2.1863,1.0875
243,1,2.6215,1.4563
243,2,2.2129,1.1063
